date,Bitcoin Price (US$),Bitcoin Daily Change (US$),Litecoin Price (US$),Litecoin Daily Change (US$),Ethereum Price (US$),Ethereum Daily Change (US$),Bitcoin Trend Metric,Litecoin Trend Metric,Ethereum Trend Metric,Facebook Libra Trend Metric,Cryptocurrency Trend Metric
2018-03-04,11462.5832,36.90262999999868,212.2667495,2.1257334999999955,861.1307224,6.743152899999927,19.0,1.0,2.0,0.0,3.0
2018-03-11,9513.5354,726.9749769999999,187.84621719999998,10.178735500000016,718.0546897,33.17410759999996,20.0,1.0,2.0,0.0,3.0
2018-03-18,8189.016719,307.3547980000012,153.6999952,0.8086352999999633,538.2613282000001,-12.603675899999871,18.0,1.0,2.0,0.0,2.0
2018-03-25,8440.610923,-170.37759299999925,159.9180019,-0.07577100000000314,522.2228018999999,-2.859601100000077,19.0,1.0,2.0,0.0,2.0
2018-04-01,6804.5248790000005,-117.75641799999903,114.62885929999999,-1.458449700000017,378.0660903,-16.44628780000005,17.0,1.0,2.0,0.0,2.0
2018-04-08,7009.996104000001,123.52663200000097,117.5251733,1.734173400000003,399.4155508,14.908301199999983,16.0,1.0,2.0,0.0,2.0
2018-04-15,8342.271101,335.8531579999999,132.2538784,5.7849661999999995,531.26395,28.042599000000052,15.0,1.0,2.0,0.0,2.0
2018-04-22,8800.959087000001,-62.581742000000304,146.8416168,-1.3022875999999997,621.1391014,15.742770299999847,15.0,1.0,2.0,0.0,2.0
2018-04-29,9396.99763,55.172945000000254,153.34749140000002,1.4237475000000188,688.3061102,5.77055960000007,13.0,1.0,2.0,0.0,2.0
2018-05-06,9595.086819,-200.8389530000004,171.3176013,-6.021511599999997,784.8751797,-26.481212500000083,13.0,1.0,2.0,0.0,2.0
2018-05-13,8695.833094,210.05782699999872,144.68561599999998,2.5414080999999555,731.4267344,45.64909409999996,12.0,1.0,2.0,0.0,2.0
2018-05-20,8511.44883,281.965893999999,139.1237951,4.449402299999974,713.5916914,19.782110699999976,12.0,0.0,1.0,0.0,2.0
2018-05-27,7338.193044,11.889857999999549,117.67332549999999,-0.4606500000000011,570.3888427999999,-13.898568700000169,11.0,0.0,1.0,0.0,1.0
2018-06-03,7702.1579329999995,64.70967999999903,125.0264936,1.7091241999999767,618.2328428,26.42088369999999,10.0,0.0,1.0,0.0,1.0
2018-06-10,6744.735801000001,-811.4358969999994,106.24335159999998,-11.641390800000025,521.2769173,-74.67670599999985,13.0,1.0,1.0,0.0,2.0
2018-06-17,6450.6939729999995,-44.621336000001065,94.96565985,-1.5712287900000064,495.8307411,-1.4912636000000248,11.0,0.0,1.0,0.0,1.0
2018-06-24,6146.487195000001,-27.73858399999972,80.73326571,-2.304624920000009,454.38876830000004,-20.856472199999985,11.0,1.0,1.0,0.0,1.0
2018-07-01,6361.402539,-14.138692000000447,79.89429873,-0.8625406099999964,451.79844160000005,0.0750249000001304,10.0,0.0,1.0,0.0,1.0
2018-07-08,6704.91998,-32.9360999999999,82.30452235,-1.7889980000000065,486.1320538,5.598578900000007,9.0,0.0,1.0,0.0,1.0
2018-07-15,6347.604274,92.49179499999991,78.30838716,2.0762249200000014,448.7280678,14.808881900000017,11.0,0.0,1.0,0.0,1.0
2018-07-22,7399.483747,-11.081873000000087,82.24460742,-1.4042049200000122,457.1352779,-4.851521600000012,12.0,0.0,1.0,0.0,1.0
2018-07-29,8229.605839,39.24578200000087,84.00149892,0.1570757199999946,466.9187636,-0.40302479999996876,11.0,0.0,1.0,0.0,1.0
2018-08-05,7031.587751000001,29.37909800000125,74.58593824,1.5440585600000105,408.9499229,2.530703399999993,11.0,1.0,1.0,0.0,1.0
2018-08-12,6314.691656,0.9423440000000483,59.32018864,0.7947406400000006,317.95464060000006,-4.9474420999999325,11.0,0.0,2.0,0.0,1.0
2018-08-19,6490.716127000001,91.4286800000009,57.90617783,0.6646195899999938,300.0650172,4.631120599999974,10.0,0.0,1.0,0.0,1.0
2018-08-26,6689.869333,-55.56960600000002,56.86745449,-1.0218854800000017,273.28994889999996,-5.133964300000002,10.0,0.0,1.0,0.0,1.0
2018-09-02,7286.667791,94.31524400000035,66.13084814,-0.1494924900000001,293.7880126,-1.1522595000000138,11.0,0.0,1.0,0.0,1.0
2018-09-09,6249.24631,61.455807999999706,54.79509458,1.7196267199999937,195.5888317,-1.0599243000000058,10.0,0.0,1.0,0.0,1.0
2018-09-16,6497.4047009999995,-26.760966000000735,56.8384666,0.2230899599999958,220.0224904,-2.7905200999999806,9.0,0.0,1.0,0.0,1.0
2018-09-23,6703.13685,-2.3392009999997754,61.52985624,1.0367591999999988,244.6507005,4.474435999999997,9.0,0.0,1.0,0.0,1.0
2018-09-30,6604.485028,19.98588000000018,61.02819478,-0.43662379999999956,232.21588050000003,0.8898259000000053,8.0,0.0,1.0,0.0,1.0
2018-10-07,6564.56826,14.089944000000287,57.90822886,0.32493849000000097,224.381154,0.711133000000018,9.0,0.0,1.0,0.0,1.0
2018-10-14,6182.879344,-14.806352000000516,51.375969,-1.4767377800000006,192.08256169999999,-4.558338700000007,8.0,0.0,1.0,0.0,1.0
2018-10-21,6415.340503,7.087757000000238,52.20372886,-0.6352547500000014,202.1977925,-0.4227978000000121,8.0,0.0,1.0,0.0,1.0
2018-10-28,6406.633253,-2.772074999999859,51.3622393,-0.13251952000000244,202.45110319999998,1.032684699999976,8.0,0.0,1.0,0.0,1.0
2018-11-04,6420.422,87.98786699999982,53.897071200000006,3.272759030000003,209.98957280000002,11.634895400000033,8.0,0.0,1.0,0.0,1.0
2018-11-11,6335.414204,-17.698530000000574,50.54097132,-1.2607548800000075,209.06425369999997,-1.5006116000000134,10.0,0.0,1.0,0.0,1.0
2018-11-18,5555.376338,54.28399799999988,41.72479793,0.24087774000000195,174.8875175,2.5616832000000045,14.0,0.0,1.0,0.0,1.0
2018-11-25,3946.850874,140.53394900000012,30.45373325,1.7431472799999987,114.3281242,3.1202049000000045,14.0,0.0,1.0,0.0,1.0
2018-12-02,4098.746764,-49.326961999999185,33.27094828,-0.4916538300000042,114.87384890000001,-2.100173899999973,12.0,0.0,1.0,0.0,1.0
2018-12-09,3540.4395759999998,132.48838099999966,25.34308907,1.093367690000001,92.99399591,2.394853889999993,11.0,0.0,1.0,0.0,1.0
